96
(0.000000, 0.000000, 0.000000) (0.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.234375) (0.000000, 0.000000, 0.234375) (0.000000, 0.000000) 
(0.000000, 0.250000, 0.062500) (0.000000, 0.000000, 0.062500) (0.000000, 0.000000) 
(0.000000, 0.250000, 0.062500) (0.000000, 0.000000, 0.062500) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.234375) (0.000000, 0.000000, 0.234375) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.296875) (0.000000, 0.000000, 0.296875) (0.000000, 0.000000) 
(0.000000, 0.250000, 0.062500) (0.000000, 0.250000, 0.062500) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.296875) (0.000000, 0.250000, 0.296875) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (0.000000, 0.250000, 0.250000) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (0.000000, 0.250000, 0.250000) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.296875) (0.000000, 0.250000, 0.296875) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.484375) (0.000000, 0.250000, 0.484375) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.250000) (0.000000, 0.500000, 0.250000) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.484375) (0.000000, 0.500000, 0.484375) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (0.000000, 0.500000, 0.562500) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (0.000000, 0.500000, 0.562500) (0.000000, 0.000000) 
(0.250000, 0.500000, 0.484375) (0.000000, 0.500000, 0.484375) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.796875) (0.000000, 0.500000, 0.796875) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.562500) (0.000000, 0.750000, 0.562500) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.796875) (0.000000, 0.750000, 0.796875) (0.000000, 0.000000) 
(0.000000, 1.000000, 1.000000) (0.000000, 0.750000, 1.000000) (0.000000, 0.000000) 
(0.000000, 1.000000, 1.000000) (0.000000, 0.750000, 1.000000) (0.000000, 0.000000) 
(0.250000, 0.750000, 0.796875) (0.000000, 0.750000, 0.796875) (0.000000, 0.000000) 
(0.250000, 1.000000, 1.234375) (0.000000, 0.750000, 1.234375) (0.000000, 0.000000) 
(0.250000, 0.000000, 0.234375) (0.250000, 0.000000, 0.234375) (0.000000, 0.000000) 
(0.500000, 0.000000, 0.375000) (0.250000, 0.000000, 0.375000) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.296875) (0.250000, 0.000000, 0.296875) (0.000000, 0.000000) 
(0.250000, 0.250000, 0.296875) (0.250000, 0.000000, 0.296875) (0.000000, 0.000000) 
